ORF,Gene,URL
YAL002W,VPS8,https://www.yeastgenome.org/locus/S000000002
YAL004W,YAL004W,https://www.yeastgenome.org/locus/S000002136
YAL005C,SSA1,https://www.yeastgenome.org/locus/S000000004
YAL007C,ERP2,https://www.yeastgenome.org/locus/S000000005
YAL008W,FUN14,https://www.yeastgenome.org/locus/S000000006
YAL009W,SPO7,https://www.yeastgenome.org/locus/S000000007
YAL010C,MDM10,https://www.yeastgenome.org/locus/S000000008
YAL011W,SWC3,https://www.yeastgenome.org/locus/S000000009
YAL012W,CYS3,https://www.yeastgenome.org/locus/S000000010
YAL013W,DEP1,https://www.yeastgenome.org/locus/S000000011
YAL014C,SYN8,https://www.yeastgenome.org/locus/S000000012
YAL015C,NTG1,https://www.yeastgenome.org/locus/S000000013
YAL016W,TPD3,https://www.yeastgenome.org/locus/S000000014
YAL017W,PSK1,https://www.yeastgenome.org/locus/S000000015
YAL018C,LDS1,https://www.yeastgenome.org/locus/S000000016
YAL019W,FUN30,https://www.yeastgenome.org/locus/S000000017
YAL020C,ATS1,https://www.yeastgenome.org/locus/S000000018
YAL021C,CCR4,https://www.yeastgenome.org/locus/S000000019
YAL022C,FUN26,https://www.yeastgenome.org/locus/S000000020
YAL023C,PMT2,https://www.yeastgenome.org/locus/S000000021
YAL024C,LTE1,https://www.yeastgenome.org/locus/S000000022
YAL025C,MAK16,https://www.yeastgenome.org/locus/S000000023
YAL026C,DRS2,https://www.yeastgenome.org/locus/S000000024
YAL027W,SAW1,https://www.yeastgenome.org/locus/S000000025
YAL028W,FRT2,https://www.yeastgenome.org/locus/S000000026
YAL029C,MYO4,https://www.yeastgenome.org/locus/S000000027
YAL031C,GIP4,https://www.yeastgenome.org/locus/S000000029
YAL032C,PRP45,https://www.yeastgenome.org/locus/S000000030
YAL033W,POP5,https://www.yeastgenome.org/locus/S000000031
YAL034C,FUN19,https://www.yeastgenome.org/locus/S000002134
YAL035W,FUN12,https://www.yeastgenome.org/locus/S000000033
YAL036C,RBG1,https://www.yeastgenome.org/locus/S000000034
YAL037W,YAL037W,https://www.yeastgenome.org/locus/S000000035
YAL038W,CDC19,https://www.yeastgenome.org/locus/S000000036
YAL039C,CYC3,https://www.yeastgenome.org/locus/S000000037
YAL040C,CLN3,https://www.yeastgenome.org/locus/S000000038
YAL041W,CDC24,https://www.yeastgenome.org/locus/S000000039
YAL042W,ERV46,https://www.yeastgenome.org/locus/S000000040
YAL043C,PTA1,https://www.yeastgenome.org/locus/S000000041
YAL044C,GCV3,https://www.yeastgenome.org/locus/S000000042
YAL045C,YAL045C,https://www.yeastgenome.org/locus/S000000043
YAL046C,BOL3,https://www.yeastgenome.org/locus/S000000044
YAL047C,SPC72,https://www.yeastgenome.org/locus/S000000045
YAL048C,GEM1,https://www.yeastgenome.org/locus/S000000046
YAL049C,AIM2,https://www.yeastgenome.org/locus/S000000047
YAL051W,OAF1,https://www.yeastgenome.org/locus/S000000048
YAL053W,FLC2,https://www.yeastgenome.org/locus/S000000049
YAL054C,ACS1,https://www.yeastgenome.org/locus/S000000050
YAL055W,PEX22,https://www.yeastgenome.org/locus/S000000051
YAL056W,GPB2,https://www.yeastgenome.org/locus/S000000052
YAL058W,CNE1,https://www.yeastgenome.org/locus/S000000054
YAL059W,ECM1,https://www.yeastgenome.org/locus/S000000055
YAL060W,BDH1,https://www.yeastgenome.org/locus/S000000056
YAL061W,BDH2,https://www.yeastgenome.org/locus/S000000057
YAL062W,GDH3,https://www.yeastgenome.org/locus/S000000058
YAL063C,FLO9,https://www.yeastgenome.org/locus/S000000059
YAL064W,YAL064W,https://www.yeastgenome.org/locus/S000000060
YAL065C,YAL065C,https://www.yeastgenome.org/locus/S000001817
YAL066W,YAL066W,https://www.yeastgenome.org/locus/S000000061
YAL067C,SEO1,https://www.yeastgenome.org/locus/S000000062
YAL068C,PAU8,https://www.yeastgenome.org/locus/S000002142
YAL069W,YAL069W,https://www.yeastgenome.org/locus/S000002143
YAR002W,NUP60,https://www.yeastgenome.org/locus/S000000063
YAR003W,SWD1,https://www.yeastgenome.org/locus/S000000064
YAR007C,RFA1,https://www.yeastgenome.org/locus/S000000065
YAR008W,SEN34,https://www.yeastgenome.org/locus/S000000066
YAR014C,BUD14,https://www.yeastgenome.org/locus/S000000069
YAR015W,ADE1,https://www.yeastgenome.org/locus/S000000070
YAR018C,KIN3,https://www.yeastgenome.org/locus/S000000071
YAR019C,CDC15,https://www.yeastgenome.org/locus/S000000072
YAR020C,PAU7,https://www.yeastgenome.org/locus/S000000073
YAR023C,YAR023C,https://www.yeastgenome.org/locus/S000000074
YAR027W,UIP3,https://www.yeastgenome.org/locus/S000000075
YAR028W,YAR028W,https://www.yeastgenome.org/locus/S000000076
YAR029W,YAR029W,https://www.yeastgenome.org/locus/S000000077
YAR030C,YAR030C,https://www.yeastgenome.org/locus/S000001821
YAR031W,PRM9,https://www.yeastgenome.org/locus/S000000078
YAR033W,MST28,https://www.yeastgenome.org/locus/S000000079
YAR035W,YAT1,https://www.yeastgenome.org/locus/S000000080
YAR042W,SWH1,https://www.yeastgenome.org/locus/S000000081
YAR047C,YAR047C,https://www.yeastgenome.org/locus/S000000083
YAR050W,FLO1,https://www.yeastgenome.org/locus/S000000084
YAR053W,YAR053W,https://www.yeastgenome.org/locus/S000000085
YAR060C,YAR060C,https://www.yeastgenome.org/locus/S000000086
YAR064W,YAR064W,https://www.yeastgenome.org/locus/S000000089
YAR066W,YAR066W,https://www.yeastgenome.org/locus/S000002144
YAR068W,YAR068W,https://www.yeastgenome.org/locus/S000000091
YAR069C,YAR069C,https://www.yeastgenome.org/locus/S000000092
YAR070C,YAR070C,https://www.yeastgenome.org/locus/S000000093
YAR071W,PHO11,https://www.yeastgenome.org/locus/S000000094
YAR073W,IMD1,https://www.yeastgenome.org/locus/S000000095
